Title,Author,Total ratings,Average rating,Total reviews,Description,Top Genre,Date published,Pages,Currently reading,Want to read
The Shipping News,Annie Proulx,141834.0,3.87,5774.0,"When Quoyle's two-timing wife meets her just deserts, he retreats with his two daughters to his ancestral home on the starkly beautiful Newfoundland coast, where a rich cast of local characters and family members all play a part in Quoyle's struggle to reclaim his life. As Quoyle confronts his private demons--and the unpredictable forces of nature and society--he begins to see the possibility of love without pain or misery. A vigorous, darkly comic, and at times magical portrait of the contemporary North American family, The Shipping News shows why Annie Proulx is recognized as one of the most gifted and original writers in America today.",Fiction,"January 1, 1993",337,"2,369",53.7k
Dune,Frank Herbert,1202143.0,4.26,52836.0,"Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...When House Atreides is betrayed, the destruction of Paul’s family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad’Dib, he will bring to fruition humankind’s most ancient and unattainable dream.***Original, first edition from 1965 can be found here.",Science Fiction,"June 1, 1965",658,116k,981k
The Obama Nation: Leftist Politics and the Cult of Personality,Jerome R. Corsi,554.0,3.54,76.0,"From the In this thoroughly researched and documented book, the #1 New York Times bestselling co-author of Unfit for Swift Boat Veterans Speak Out Against John Kerry explains why the extreme leftism of an Obama presidency would leave the United States weakened, diminished and divided, why Obama must be defeated—and how he can be. THE OBAMA NATION Leftist Politics and the Cult of Personality Barack Obama stepped onto the national political stage when the then-Illinois State senator addressed the 2004 Democratic National Convention. Soon after Obama was elected to the U.S. Senate, author Jerome Corsi began researching Obama's personal and political background. Scrupulously sourced with more than 600 footnotes, THE OBAMA NATION is the result of that research. By tracing Obama's career and influences from his early years in Hawaii and Indonesia, the beginnings of his political career in Chicago, his voting record in the Illinois legislature, his religious training and his adoption of Christianity through to his recent involvement in Kenyan politics, his political advisors and fundraising associates and his meteoric campaign for president, Jerome Corsi shows that an Obama presidency would, in his words, be “a repeat of the failed extremist politics that have characterized and plagued Democratic Party politics since the late 1960s.” In this stunning and comprehensive new book, the reader will learn -Obama's extensive connections with Islam and radical politics, from his father and step-father's Islamic backgrounds, to his Communist and socialist mentors in Hawaii and Chicago, to his long-term and close associations with former Weather Underground heroes William Ayers and Bernadette Dohrn—associations much closer than heretofore revealed by the press-Barack and Michelle's 20-year-long religious affiliation with the black-liberation theology of former Trinity United Church of Christ Reverend Jeremiah Wright, whose sermons have always been steeped in a rage first expressed by Franz Fanon , Stokely Carmichael and Malcolm X, a rage that Corsi shows has deep meaning for Obama-Obama's continuing connections with Kenya, the homeland of his father, through his support for the candidacy of Raila Odinga, the radical socialist presidential contender who came to power amid Islamist violence and church burnings-Obama's involvement in the slum-landlord empire of the Chicago political fixer Tony Rezko, who helped to bankroll Obama's initial campaigns and to purchase of Barack and Michelle's dream-home property.-the background and techniques of the Obama campaign's cult of personality, including the derivation of the words “hope” and change”-Obama's far-left domestic policy, his controversial votes on abortion, his history of opposition to the Second Amendment, his determination to raise capital-gains taxes, his impractical plan to achieve universal health care, and his radical plan to tax Americans to fund a global-poverty-reduction program-Obama's naïve, anti-war, anti-nuclear foreign-policy, predicated on the reduction of the military, the eradication of nuclear weapons and an overconfidence in the power of his personality, as if belief in change alone could somehow transform international politics, achieve nuclear-weapons disarmament and withdrawal from Iraq without adverse consequences, for us, for the Iraqis or for Israel. Meticulously researched and documented, THE OBAMA NATION is the definitive source for information on why and how Barack Obama must be defeated—not by invective and general attacks, but by detailed arguments that are well-researched and fact-based.",Politics,"January 1, 2008",384,32,379
Catch-22,Joseph Heller,803902.0,3.99,21878.0,"Fifty years after its original publication, Catch-22 remains a cornerstone of American literature and one of the funniest—and most celebrated—books of all time. In recent years it has been named to “best novels” lists by Time, Newsweek, the Modern Library, and the London Observer.Set in Italy during World War II, this is the story of the incomparable, malingering bombardier, Yossarian, a hero who is furious because thousands of people he has never met are trying to kill him. But his real problem is not the enemy—it is his own army, which keeps increasing the number of missions the men must fly to complete their service. Yet if Yossarian makes any attempt to excuse himself from the perilous missions he’s assigned, he’ll be in violation of Catch-22, a hilariously sinister bureaucratic rule: a man is considered insane if he willingly continues to fly dangerous combat missions, but if he makes a formal request to be removed from duty, he is proven sane and therefore ineligible to be relieved.This fiftieth-anniversary edition commemorates Joseph Heller’s masterpiece with a new introduction by Christopher Buckley; a wealth of critical essays and reviews by Norman Mailer, Alfred Kazin, Anthony Burgess, and others; rare papers and photos from Joseph Heller’s personal archive; and much more. Here, at last, is the definitive edition of a classic of world literature.",Classics,"November 10, 1961",453,29.6k,822k
1984,George Orwell,4196834.0,4.19,101537.0,"The year 1984 has come and gone, but George Orwell's prophetic, nightmarish vision in 1949 of the world we were becoming is timelier than ever. 1984 is still the great modern classic of ""negative utopia""—a startlingly original and haunting novel that creates an imaginary world that is completely convincing, from the first sentence to the last four words. No one can deny the novel's hold on the imaginations of whole generations, or the power of its admonitions—a power that seems to grow, not lessen, with the passage of time.",Classics,"June 8, 1949",328,170k,2m
Hannah Montana: Recorder Fun! Pack,Miley Cyrus,114.0,4.20,6.0,"RecorderThis terrific pack contains everything you need to teach yourself recorder, using songs from this Disney Channel sensation Features a high-quality instrument with the feel and tuning of a pro model; and a songbook featuring easy versions of nine popular songs, complete instructions, a fingering chart, and coloring pages. Includes these Hannah Montana hits in E-Z Play notation: The Best of Both Worlds * Find Yourself in You * I Got Nerve * Just like You * Life's What You Make It * Nobody's Perfect * One in a Million * The Other Side of Me * We Got the Party.Many other Hannah Montana editions also available",Music,"May 26, 2008",24,4,209
The Red Tent,Anita Diamant,578123.0,4.19,21182.0,"Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, Zilpah, and Bilhah—the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, The Red Tent combines rich storytelling with a valuable achievement in modern fiction: a new view of biblical women's society.",Historical Fiction,"January 1, 1997",324,"7,481",231k
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,7537.0,4.17,645.0,"Conservative talk radio's fastest-growing superstar is also a New York Times bestselling phenomenon: the author of the groundbreaking critique of the Supreme Court, Men in Black, and the deeply personal dog lover's memoir Rescuing Sprite, Mark R. Levin now delivers the book that characterizes both his devotion to his more than 5 million listeners and his love of our country and the legacy of our Founding Fathers: Liberty and Tyranny is Mark R. Levin's clarion call to conservative America, a new manifesto for the conservative movement for the 21st century.In the face of the modern liberal assault on Constitution-based values, an attack that has steadily snowballed since President Roosevelt's New Deal of the 1930s and resulted in a federal government that is a massive, unaccountable conglomerate, the time for re-enforcing the intellectual and practical case for conservatism is now. Conservative beliefs in individual freedoms do in the end stand for liberty for all Americans, while liberal dictates lead to the breakdown of civilized society -- in short, tyranny. Looking back to look to the future, Levin writes ""conservatism is the antidote to tyranny precisely because its principles are our founding principles."" And in a series of powerful essays, Levin lays out how conservatives can counter the liberal corrosion that has filtered into every timely issue affecting our daily lives, from the economy to health care, global warming, immigration, and more -- and illustrates how change, as seen through the conservative lens, is always prudent, and always an enhancement to individual freedom.As provocative, well-reasoned, robust, and informed as his on-air commentary, Levin's narrative will galvanize readers to begin a new era in conservative thinking and action. Liberty and Tyranny provides a philosophical, historical, and practical framework for revitalizing the conservative vision and ensuring the preservation of American society.",Politics,"June 30, 2004",245,634,"4,236"
Jane Eyre,Charlotte Brontë,1974007.0,4.14,57758.0,"Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward Adèle. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard. But there is a terrifying secret inside the gloomy, forbidding Thornfield Hall. Is Rochester hiding from Jane? Will Jane be left heartbroken and exiled once again?",Classics,"October 16, 1847",532,71.2k,1m
The Pilot's Wife,Anita Shreve,95919.0,3.55,4802.0,"A pilot's wife is taught to be prepared for the late-night knock at the door. But when Kathryn Lyons receives word that a plane flown by her husband, Jack, has exploded near the coast of Ireland, she confronts the unfathomable-one startling revelation at a time. Soon drawn into a maelstrom of publicity fueled by rumors that Jack led a secret life, Kathryn sets out to learn who her husband really was, whatever that knowledge might cost. Her search propels this taut, impassioned novel as it movingly explores the question, How well can we ever really know another person?",Fiction,"January 1, 1998",304,"1,295",19.3k
Digital Fortress,Dan Brown,618839.0,3.69,10615.0,"When the National Security Agency's invincible code-breaking machine encounters a mysterious code it cannot break, the agency calls its head cryptographer, Susan Fletcher, a brilliant and beautiful mathematician. What she uncovers sends shock waves through the corridors of power. The NSA is being held hostage... not by guns or bombs, but by a code so ingeniously complex that if released it would cripple U.S. intelligence.Caught in an accelerating tempest of secrecy and lies, Susan Fletcher battles to save the agency she believes in. Betrayed on all sides, she finds herself fighting not only for her country but for her life, and in the end, for the life of the man she loves.(back cover)",Fiction,"February 1, 1998",510,"5,464",157k
Memoirs of a Geisha,Arthur Golden,1928927.0,4.14,34270.0,"A literary sensation and runaway bestseller, this brilliant novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.In ""Memoirs of a Geisha,"" we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most powerful men; and where love is scorned as illusion. It is a unique and triumphant work of fiction - at once romantic, erotic, suspenseful - and completely unforgettable.",Fiction,"January 1, 1997",434,12.5k,798k
Your Best Life Now: 7 Steps to Living at Your Full Potential,Joel Osteen,14389.0,3.97,632.0,"In this remarkable New York Times bestseller, Joel Osteen offers unique insights and encouragement that will help readers overcome every obstacle in their lives.",Self Help,"October 1, 2004",310,725,"8,954"
How To Get Rich,Donald J. Trump,2732.0,3.38,216.0,"First he made five billion dollars.Then he made The Apprentice.Now The Donald shows you how to make a fortune, Trump style.HOW TO GET RICHReal estate titan, bestselling author, and TV impresario Donald J. Trump reveals the secrets of his success in this candid and unprecedented book of business wisdom and advice. Over the years, everyone has urged Trump to write on this subject, but it wasn’t until NBC and executive producer Mark Burnett asked him to star in The Apprentice that he realized just how hungry people are to learn how great personal wealth is created and first-class businesses are run. Thousands applied to be Trump’s apprentice, and millions have been watching the program, making it the highest rated debut of the season.In Trump: How To Get Rich, Trump tells all–about the lessons learned from The Apprentice, his real estate empire, his position as head of the 20,000-member Trump Organization, and his most important role, as a father who has successfully taught his children the value of money and hard work.With his characteristic brass and smarts, Trump offers insights on how to• invest wisely• impress the boss and get a raise• manage a business efficiently• hire, motivate, and fire employees• negotiate anything• maintain the quality of your brand• think big and live largePlus, The Donald tells all on the art of the hair!With his luxury buildings, award-winning golf courses, high-stakes casinos, and glamorous beauty pageants, Donald J. Trump is one of a kind in American business. Every day, he lives the American dream. Now he shows you how it’s done, in this rollicking, inspirational, and illuminating behind-the-scenes story of invaluable lessons and rich rewards.From the Hardcover edition.",Business,"January 1, 2004",320,137,"2,615"
City of Bones,Cassandra Clare,1914403.0,4.08,72263.0,"When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It's hard to call the police when the murderers are invisible to everyone else and when there is nothing―not even a smear of blood―to show that a boy has died. Or was he a boy?This is Clary's first meeting with the Shadowhunters, warriors dedicated to ridding the earth of demons. It's also her first encounter with Jace, a Shadowhunter who looks a little like an angel and acts a lot like a jerk. Within twenty-four hours Clary is pulled into Jace's world with a vengeance when her mother disappears and Clary herself is attacked by a demon. But why would demons be interested in ordinary mundanes like Clary and her mother? And how did Clary suddenly get the Sight? The Shadowhunters would like to know...",Fantasy,"March 27, 2007",485,36.3k,834k
Portrait of a Killer: Jack the Ripper - Case Closed,Patricia Cornwell,34552.0,3.47,1617.0,"Now updated with new material that brings the killer's picture into clearer focus.In the fall of 1888, all of London was held in the grip of unspeakable terror.  An elusive madman calling himself Jack the Ripper was brutally butchering women in the slums of London’s East End.  Police seemed powerless to stop the killer, who delighted in taunting them and whose crimes were clearly escalating in violence from victim to victim.  And then the Ripper’s violent spree seemingly ended as abruptly as it had begun.  He had struck out of nowhere and then vanished from the scene.  Decades passed, then fifty years, then a hundred, and the Ripper’s bloody sexual crimes became anemic and impotent fodder for puzzles, mystery weekends, crime conventions, and so-called “Ripper Walks” that end with pints of ale in the pubs of Whitechapel.  But to number-one New York Times bestselling novelist Patricia Cornwell, the Ripper murders are not cute little mysteries to be transformed into parlor games or movies but rather a series of terrible crimes that no one should get away with, even after death.  Now Cornwell applies her trademark skills for meticulous research and scientific expertise to dig deeper into the Ripper case than any detective before her—and reveal the true identity of this fabled Victorian killer.In Portrait of a Killer: Jack the Ripper, Case Closed, Cornwell combines the rigorous discipline of twenty-first century police investigation with forensic techniques undreamed of during the late Victorian era to solve one of the most infamous and difficult serial murder cases in history.  Drawing on unparalleled access to original Ripper evidence, documents, and records, as well as archival, academic, and law-enforcement resources, FBI profilers, and top forensic scientists, Cornwell reveals that Jack the Ripper was none other than a respected painter of his day, an artist now collected by some of the world’s finest museums: Walter Richard Sickert.It has been said of Cornwell that no one depicts the human capability for evil better than she.   Adding layer after layer of circumstantial evidence to the physical evidence discovered by modern forensic science and expert minds, Cornwell shows that Sickert, who died peacefully in his bed in 1942, at the age of 81, was not only one of Great Britain’s greatest painters but also a serial killer, a damaged diabolical man driven by megalomania and hate.  She exposes Sickert as the author of the infamous Ripper letters that were written to the Metropolitan Police and the press.  Her detailed analysis of his paintings shows that his art continually depicted his horrific mutilation of his victims, and her examination of this man’s birth defects, the consequent genital surgical interventions, and their effects on his upbringing present a casebook example of how a psychopathic killer is created.New information and startling revelations detailed in Portrait of a Killer include:- How a year-long battery of more than 100 DNA tests—on samples drawn by Cornwell’s forensics team in September 2001 from original Ripper letters and Sickert documents—yielded the first shadows of the 75- to 114 year-old genetic evid...",Nonfiction,"January 1, 2002",383,395,18.2k
Pride and Prejudice and Zombies,Seth Grahame-Smith,136254.0,3.31,13561.0,"“It is a truth universally acknowledged that a zombie in possession of brains must be in want of more brains.”So begins Pride and Prejudice and Zombies, an expanded edition of the beloved Jane Austen novel featuring all-new scenes of bone-crunching zombie mayhem. As our story opens, a mysterious plague has fallen upon the quiet English village of Meryton—and the dead are returning to life! Feisty heroine Elizabeth Bennet is determined to wipe out the zombie menace, but she’s soon distracted by the arrival of the haughty and arrogant Mr. Darcy. What ensues is a delightful comedy of manners with plenty of civilized sparring between the two young lovers—and even more violent sparring on the blood-soaked battlefield. Can Elizabeth vanquish the spawn of Satan? And overcome the social prejudices of the class-conscious landed gentry? Complete with romance, heartbreak, swordfights, cannibalism, and thousands of rotting corpses,",Fiction,"April 1, 2009",320,"4,776",111k
The Bad Beginning,Lemony Snicket,489949.0,3.99,20493.0,"Dear Reader,I'm sorry to say that the book you are holding in your hands is extremely unpleasant. It tells an unhappy tale about three very unlucky children. Even though they are charming and clever, the Baudelaire siblings lead lives filled with misery and woe. From the very first page of this book when the children are at the beach and receive terrible news, continuing on through the entire story, disaster lurks at their heels. One might say they are magnets for misfortune.In this short book alone, the three youngsters encounter a greedy and repulsive villain, itchy clothing, a disastrous fire, a plot to steal their fortune, and cold porridge for breakfast.It is my sad duty to write down these unpleasant tales, but there is nothing stopping you from putting this book down at once and reading something happy, if you prefer that sort of thing.With all due respect,Lemony Snicket",Fiction,"August 25, 1999",176,"5,932",144k
The Secret,Rhonda Byrne,446052.0,3.72,15163.0,"Alternate cover edition of ISBN 9781582701707.The worldwide bestselling phenomenon that has helped millions tap the power of the law that governs all our lives to create—intentionally and effortlessly—a joyful life.In 2006, a groundbreaking feature-length film revealed the great mystery of the universe—The Secret—and, later that year, Rhonda Byrne followed with a book that became a worldwide bestseller.Fragments of a Great Secret have been found in the oral traditions, in literature, in religions, and philosophies throughout the centuries. For the first time, all the pieces of The Secret come together in an incredible revelation that will be life-transforming for all who experience it.In this book, you’ll learn how to use The Secret in every aspect of your life—money, health, relationships, happiness, and in every interaction you have in the world. You’ll begin to understand the hidden, untapped power that’s within you, and this revelation can bring joy to every aspect of your life.The Secret contains wisdom from modern-day teachers—men and women who have used it to achieve health, wealth, and happiness. By applying the knowledge of The Secret, they bring to light compelling stories of eradicating disease, acquiring massive wealth, overcoming obstacles, and achieving what many would regard as impossible.",Self Help,"November 28, 2006",199,21.4k,244k
A Wrinkle in Time,Madeleine L'Engle,1152742.0,3.99,37777.0,"It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure—one that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.",Fantasy,"January 1, 1962",218,20.9k,585k
Ulysses,James Joyce,122739.0,3.75,8719.0,"Loosely based on the Odyssey, this landmark of modern literature follows ordinary Dubliners in 1904. Capturing a single day in the life of Dubliner Leopold Bloom, his friends Buck Mulligan and Stephen Dedalus, his wife Molly, and a scintillating cast of supporting characters, Joyce pushes Celtic lyricism and vulgarity to splendid extremes. Captivating experimental techniques range from interior monologues to exuberant wordplay and earthy humor. A major achievement in 20th century literature.",Classics,"February 2, 1922",783,24.6k,317k
Love Story,Erich Segal,58800.0,3.64,3341.0,"Oliver Barrett IV, a wealthy jock from a stuffy WASP family on his way to a Harvard degree and a career in law . . . Jenny Cavilleri, a sharp-tongued, working-class beauty studying music at Radcliffe . . .Opposites in nearly every way, Oliver and Jenny are kindred spirits from vastly different worlds. Falling deeply and powerfully, their attraction to one another defies everything they have ever believed—as they share a passion far greater than anything they dreamed possible . . . and explore the wonder of a love that must end too soon.One of the most adored novels of our time, this is the book that defined a generation—a story of uncompromising devotion, of life as it really is . . . and love that changes everything.",Romance,"February 14, 1970",224,"1,069",24k
Brave New World,Aldous Huxley,1741184.0,3.99,42375.0,"Brave New World is a dystopian novel by English author Aldous Huxley, written in 1931 and published in 1932. Largely set in a futuristic World State, inhabited by genetically modified citizens and an intelligence-based social hierarchy, the novel anticipates huge scientific advancements in reproductive technology, sleep-learning, psychological manipulation and classical conditioning that are combined to make a dystopian society which is challenged by only a single individual: the story's protagonist.",Classics,"January 1, 1932",268,38.6k,943k
House of Sand and Fog,Andre Dubus III,130708.0,3.86,4468.0,"On a road crew in California, a former colonel in the Iranian Air Force sees a way to restore his family's dignity in an attractive bungalow available on county auction. But the house's owner, a recovering alcoholic and addict down on her luck, will fight for the one thing she has left. And her lover, a married cop, will be driven to extremes to win her love. In this masterpiece of American realism and Shakespearean consequence, Andre Dubus III's unforgettable characters careen toward inevitable conflict, their tragedy painting a shockingly true picture of the country we live in today.",Fiction,"January 1, 1999",365,"1,101",45.7k
The Adventures of Huckleberry Finn,Mark Twain,1236625.0,3.83,18482.0,"A nineteenth-century boy from a Mississippi River town recounts his adventures as he travels down the river with a runaway slave, encountering a family involved in a feud, two scoundrels pretending to be royalty, and Tom Sawyer's aunt who mistakes him for Tom.",Classics,"February 18, 1884",327,30.5k,405k
"Hush, Hush",Becca Fitzpatrick,677070.0,3.93,28576.0,"A SACRED OATHA FALLEN ANGELA FORBIDDEN LOVERomance was not part of Nora Grey's plan. She's never been particularly attracted to the boys at her school, no matter how hard her best friend, Vee, pushes them at her. Not until Patch comes along. With his easy smile and eyes that seem to see inside her, Patch draws Nora to him against her better judgment.But after a series of terrifying encounters, Nora's not sure whom to trust. Patch seems to be everywhere she is and seems to know more about her than her closest friends. She can't decide whether she should fall into his arms or run and hide. And when she tries to seek some answers, she finds herself near a truth that is way more unsettling than anything Patch makes her feel.For she is right in the middle of an ancient battle between the immortal and those that have fallen - and, when it comes to choosing sides, the wrong choice will cost Nora her life.",Young Adult,"October 13, 2009",391,"6,986",431k
Little Women,Louisa May Alcott,2083847.0,4.14,44904.0,"This is an alternate cover edition of ISBN 9780451529305.Generations of readers young and old, male and female, have fallen in love with the March sisters of Louisa May Alcott’s most popular and enduring novel, Little Women. Here are talented tomboy and author-to-be Jo, tragically frail Beth, beautiful Meg, and romantic, spoiled Amy, united in their devotion to each other and their struggles to survive in New England during the Civil War.It is no secret that Alcott based Little Women on her own early life. While her father, the freethinking reformer and abolitionist Bronson Alcott, hobnobbed with such eminent male authors as Emerson, Thoreau, and Hawthorne, Louisa supported herself and her sisters with ""woman’s work,” including sewing, doing laundry, and acting as a domestic servant. But she soon discovered she could make more money writing. Little Women brought her lasting fame and fortune, and far from being the ""girl’s book” her publisher requested, it explores such timeless themes as love and death, war and peace, the conflict between personal ambition and family responsibilities, and the clash of cultures between Europe and America.",Classics,"January 1, 1868",449,91k,1m
The Nanny Diaries,Emma McLaughlin,377201.0,3.45,5459.0,"Wanted: One young woman to take care of four-year-old boy. Must be cheerful, enthusiastic and selfless--bordering on masochistic. Must relish sixteen-hour shifts with a deliberately nap-deprived preschooler. Must love getting thrown up on, literally and figuratively, by everyone in his family. Must enjoy the delicious anticipation of ridiculously erratic pay. Mostly, must love being treated like fungus found growing out of employers Hermès bag. Those who take it personally need not apply. Who wouldn't want this job? Struggling to graduate from NYU and afford her microscopic studio apartment, Nanny takes a position caring for the only son of the wealthy X family. She rapidly learns the insane amount of juggling involved to ensure that a Park Avenue wife who doesn't work, cook, clean, or raise her own child has a smooth day. When the X's' marriage begins to disintegrate, Nanny ends up involved way beyond the bounds of human decency or good taste. Her tenure with the X family becomes a nearly impossible mission to maintain the mental health of their four-year-old, her own integrity and, most importantly, her sense of humor. Over nine tense months, Mrs. X and Nanny perform the age-old dance of decorum and power as they test the limits of modern-day servitude. Written by two former nannies, The Nanny Diaries deftly punctures the glamour of Manhattan's upper class.",Fiction,"March 13, 2002",306,630,102k
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,693144.0,4.15,13691.0,"When Stephen Covey first released The Seven Habits of Highly Effective People, the book became an instant rage because people suddenly got up and took notice that their lives were headed off in the wrong direction; and more than that, they realized that there were so many simple things they could do in order to navigate their life correctly. This book was wonderful education for people, education in how to live life effectively and get closer to the ideal of being a ‘success’ in life.But not everyone understands Stephen Covey’s model fully well, or maybe there are some people who haven’t read it yet. This is definitely true because we still see so much failure all around us. Now, I am not saying that by using Covey’s model, or anyone else’s model for that matter, you can become a sure-shot success, but at least we should have seen many more successes around us already judging by the number of copies the book has sold! So, where is the shortcoming?There are two main problems here, and we are talking only about the people who have read the book already. The first problem is that most people are too lazy to implement the ideals of Stephen Covey in their lives. They consider his masterpiece of a book as a mere coffee-table book or a book that you use for light reading when you are traveling and then forget all about it. They do not realize that this book contains life-changing information. Or, they take the information and do not make the effort to actually utilize it so that it becomes knowledge for them.The second problem is that a lot of people have a myopic view of Covey’s ideals. These are people who are impressed by the book already. If you ask them what the seven habits are, they can rattle them off end to end, but then they miss the larger picture. They do not understand that Covey was trying to tell more than he wrote in words. There are hidden implications in this book, yes, and a lot of people have just failed to see through them.That is what we are trying to do. We are trying to show you how Covey’s book, or rather, his model, was a complete model in itself. There was nothing amiss about it. If you implement it, there should be no aspect of your life that should go untouched. The only thing is that you have to understand these ideals and try to implement them in your life.But, before we barge into that area, it is extremely important to understand what these ideals are. What was the model that was propounded by Stephen Covey in his mega-famous book? We shall begin by trying to understand his model first, and then interpret it in such a way that it pertains to every aspect of our life",Self Help,"January 1, 1988",372,134k,814k
The Lovely Bones,Alice Sebold,2266992.0,3.84,44648.0,"""My name was Salmon, like the fish; first name, Susie. I was fourteen when I was murdered on December 6, 1973.""So begins the story of Susie Salmon, who is adjusting to her new home in heaven, a place that is not at all what she expected, even as she is watching life on earth continue without her -- her friends trading rumors about her disappearance, her killer trying to cover his tracks, her grief-stricken family unraveling. Out of unspeakable tragedy and loss, The Lovely Bones succeeds, miraculously, in building a tale filled with hope, humor, suspense, even joy.",Fiction,"July 3, 2002",372,13.5k,713k
